TrapEvent,Location,Elevation,Site Type,ElevationCat,habitat,ColMeth,Bait,Day0,Mon0,Year0,Time0,Day1,Mon1,Year1,Day_out,Time1,SWD_Male,SWD_Female,other_Drosophila_non-native,Total,Suzukii Total,No_of_Days,Proportions,Prop_male,Prop_female,Host_Genus,Host_Species,Trap in tact?,Notes
SWD111,HAVO04a,1007,a,4,forest,Trap,YeastSugar,1,6,2016,1320,15,6,2016,14,1320,16,15,31,62,31,2.21,0.5,1.142857143,1.071428571,,,Y,
SWD112,HAVO04b,1023,b,4,lava,Trap,YeastSugar,1,6,2016,1340,15,6,2016,14,1340,7,4,4,15,11,0.79,0.73,0.5,0.285714286,,,Y,
SWD113,HAVO05a,1371,a,5,forest,Trap,YeastSugar,1,6,2016,1430,15,6,2016,14,1430,59,51,62,172,110,7.86,0.64,4.214285714,3.642857143,,,Y,
SWD114,HAVO05b,1588,b,5,lava,Trap,YeastSugar,1,6,2016,1450,15,6,2016,14,1450,2,5,2,9,7,0.5,0.78,0.142857143,0.357142857,,,Y,
SWD115,HAVO06a,1742,a,6,forest,Trap,YeastSugar,1,6,2016,1520,15,6,2016,14,1520,0,0,0,0,0,0,0,0,0,,,Y,
SWD116,HAVO06b,1754,b,6,lava,Trap,YeastSugar,1,6,2016,1530,15,6,2016,14,1530,0,0,0,0,0,0,0,0,0,,,Y,
SWD117,HAVO07a,2060,a,7,forest,Trap,YeastSugar,1,6,2016,1730,15,6,2016,14,1730,17,13,15,45,30,2.14,0.67,1.214285714,0.928571429,,,Y,
SWD118,HAVO07b,2049,b,7,lava,Trap,YeastSugar,1,6,2016,1750,15,6,2016,14,1750,4,2,7,13,6,0.43,0.46,0.285714286,0.142857143,,,Y,
SWD119,HAVO01a,735,a,1,forest,Trap,YeastSugar,15,6,2016,720,27,6,2016,12,720,44,51,39,134,95,7.92,0.71,3.666666667,4.25,,,Y,
SWD120,HAVO01b,742,b,1,lava,Trap,YeastSugar,15,6,2016,740,27,6,2016,12,740,5,1,1,7,6,0.5,0.86,0.416666667,0.083333333,,,Y,
SWD121,HAVO02a,787,a,2,forest,Trap,YeastSugar,15,6,2016,815,27,6,2016,12,815,22,26,19,67,48,4,0.72,1.833333333,2.166666667,,,Y,
SWD122,HAVO02b,779,b,2,lava,Trap,YeastSugar,15,6,2016,800,27,6,2016,12,800,5,6,2,13,11,0.92,0.85,0.416666667,0.5,,,Y,
SWD123,HAVO03a,885,a,3,forest,Trap,YeastSugar,15,6,2016,1000,27,6,2016,12,1000,17,4,14,35,21,1.75,0.6,1.416666667,0.333333333,,,Y,
SWD124,HAVO03b,901,b,3,lava,Trap,YeastSugar,15,6,2016,1030,27,6,2016,12,1030,5,13,9,27,18,1.5,0.67,0.416666667,1.083333333,,,Y,
SWD125,HAVO04a,1007,a,4,forest,Trap,YeastSugar,15,6,2016,1320,27,6,2016,12,1320,2,0,0,2,2,0.17,1,0.166666667,0,,,Y,
SWD126,HAVO04b,1023,b,4,lava,Trap,YeastSugar,15,6,2016,1340,27,6,2016,12,1340,0,0,0,0,0,0,0,0,0,,,Y,
SWD127,HAVO05a,1371,a,5,forest,Trap,YeastSugar,15,6,2016,1430,27,6,2016,12,1430,24,31,37,92,55,4.58,0.6,2,2.583333333,,,Y,
SWD128,HAVO05b,1588,b,5,lava,Trap,YeastSugar,15,6,2016,1450,27,6,2016,12,1450,3,3,3,9,6,0.5,0.67,0.25,0.25,,,Y,
SWD129,HAVO06a,1742,a,6,forest,Trap,YeastSugar,15,6,2016,1520,27,6,2016,12,1520,4,2,0,6,6,0.5,1,0.333333333,0.166666667,,,Y,
SWD130,HAVO06b,1754,b,6,lava,Trap,YeastSugar,15,6,2016,1530,27,6,2016,12,1530,5,1,3,9,6,0.5,0.67,0.416666667,0.083333333,,,Y,
SWD131,HAVO07a,2060,a,7,forest,Trap,YeastSugar,15,6,2016,1730,27,6,2016,12,1730,6,6,3,15,12,1,0.8,0.5,0.5,,,Y,
SWD132,HAVO07b,2049,b,7,lava,Trap,YeastSugar,15,6,2016,1750,27,6,2016,12,1750,1,0,1,2,1,0.08,0.5,0.083333333,0,,,Y,
SWD133,HAVO01a,735,a,1,forest,Trap,YeastSugar,27,6,2016,720,2,8,2016,36,720,28,39,22,89,67,1.86,0.75,0.777777778,1.083333333,,,Y,
SWD134,HAVO01b,742,b,1,lava,Trap,YeastSugar,27,6,2016,740,2,8,2016,36,740,6,5,17,28,11,0.31,0.39,0.166666667,0.138888889,,,Y,
SWD135,HAVO02a,787,a,2,forest,Trap,YeastSugar,27,6,2016,815,2,8,2016,36,815,21,9,31,61,30,0.83,0.49,0.583333333,0.25,,,Y,
SWD136,HAVO02b,779,b,2,lava,Trap,YeastSugar,27,6,2016,800,2,8,2016,36,800,0,6,6,12,6,0.17,0.5,0,0.166666667,,,Y,
SWD137,HAVO03a,885,a,3,forest,Trap,YeastSugar,27,6,2016,1000,2,8,2016,36,1000,9,2,12,23,11,0.31,0.48,0.25,0.055555556,,,Y,
SWD138,HAVO03b,901,b,3,lava,Trap,YeastSugar,27,6,2016,1030,2,8,2016,36,1030,8,9,5,22,17,0.47,0.77,0.222222222,0.25,,,Y,
SWD139,HAVO04a,1007,a,4,forest,Trap,YeastSugar,27,6,2016,1320,2,8,2016,36,1320,0,0,3,3,0,0,0,0,0,,,Y,
SWD140,HAVO04b,1023,b,4,lava,Trap,YeastSugar,27,6,2016,1340,2,8,2016,36,1340,6,5,9,20,11,0.31,0.55,0.166666667,0.138888889,,,Y,
SWD141,HAVO05a,1371,a,5,forest,Trap,YeastSugar,27,6,2016,1430,2,8,2016,36,1430,3,6,2,11,9,0.25,0.82,0.083333333,0.166666667,,,Y,
SWD142,HAVO05b,1588,b,5,lava,Trap,YeastSugar,27,6,2016,1450,2,8,2016,36,1450,4,0,0,4,4,0.11,1,0.111111111,0,,,Y,
SWD143,HAVO06a,1742,a,6,forest,Trap,YeastSugar,27,6,2016,1520,2,8,2016,36,1520,5,2,5,12,7,0.19,0.58,0.138888889,0.055555556,,,Y,
SWD144,HAVO06b,1754,b,6,lava,Trap,YeastSugar,27,6,2016,1530,2,8,2016,36,1530,0,0,0,0,0,0,0,0,0,,,Y,
SWD145,HAVO07a,2060,a,7,forest,Trap,YeastSugar,27,6,2016,1730,2,8,2016,36,1730,2,0,3,5,2,0.06,0.4,0.055555556,0,,,Y,
SWD146,HAVO07b,2049,b,7,lava,Trap,YeastSugar,27,6,2016,1750,2,8,2016,36,1750,0,0,0,0,0,0,0,0,0,,,Y,
